plot_type,city,price,Unit,Rupee_per_area,Area,state
Residential Plot,Visakhapatnam, 13.47 L, L,"1,199 / sq ft",1123,andhra pradesh
Residential Plot,Visakhapatnam, 27 L, L,"1,200 / sq ft",2250,andhra pradesh
Residential Plot,Visakhapatnam, 22.4 L, L,"1,204 / sq ft",1860,andhra pradesh
Residential Plot,Ongole, 18 L, L,"1,204 / sq ft",1494,andhra pradesh
Residential Plot,Visakhapatnam, 55 L, L,"1,206 / sq ft",4560,andhra pradesh
Residential Plot,Visakhapatnam, 44 L, L,"1,206 / sq ft",3646,andhra pradesh
Residential Plot,Vijayawada, 16.29 L, L,"1,207 / sq ft",1350,andhra pradesh
Residential Plot,Guntur, 93.55 L, L,"1,208 / sq ft",7739,andhra pradesh
Residential Plot,Visakhapatnam, 17.6 L, L,"1,208 / sq ft",1456,andhra pradesh
Residential Plot,Tirupati, 14.5 L, L,"1,208 / sq ft",1200,andhra pradesh
Residential Plot,Visakhapatnam, 23 L, L,"1,210 / sq ft",1900,andhra pradesh
Residential Plot,Visakhapatnam, 23 L, L,"1,211 / sq ft",1899,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,212 / sq ft",1650,andhra pradesh
Residential Plot,Visakhapatnam, 20 L, L,"1,214 / sq ft",1647,andhra pradesh
Residential Plot,Visakhapatnam, 22 L, L,"1,215 / sq ft",1810,andhra pradesh
Residential Plot,Kakinada, 16 L, L,"1,217 / sq ft",1314,andhra pradesh
Residential Plot,Visakhapatnam, 22 L, L,"1,218 / sq ft",1806,andhra pradesh
Residential Plot,Visakhapatnam, 55 L, L,"1,220 / sq ft",4506,andhra pradesh
Residential Plot,Visakhapatnam, 22 L, L,"1,220 / sq ft",1803,andhra pradesh
Residential Plot,Visakhapatnam, 22 L, L,"1,220 / sq ft",1802,andhra pradesh
Residential Plot,Vijayawada, 20.09 L, L,"1,220 / sq ft",1647,andhra pradesh
Residential Plot,Visakhapatnam, 55 L, L,"1,221 / sq ft",4502,andhra pradesh
Residential Plot,Visakhapatnam, 55 L, L,"1,222 / sq ft",4500,andhra pradesh
Residential Plot,Visakhapatnam, 44 L, L,"1,222 / sq ft",3600,andhra pradesh
Residential Plot,Visakhapatnam, 29.37 L, L,"1,222 / sq ft",2403,andhra pradesh
Residential Plot,Visakhapatnam, 23.84 L, L,"1,222 / sq ft",1950,andhra pradesh
Residential Plot,Visakhapatnam, 22 L, L,"1,222 / sq ft",1800,andhra pradesh
