property_type,city,total_price,unit,builtup_area_sqft,area,state
Plot/Land,Visakhapatnam,18.3, L,1111.0,1647,Andhra Pradesh
Plot/Land,Visakhapatnam,18.0, L,1111.0,1620,Andhra Pradesh
Plot/Land,Guntur,17.0, L,1111.0,1530,Andhra Pradesh
Plot/Land,Guntur,16.8, L,1111.0,1512,Andhra Pradesh
Plot/Land,Vizianagaram,16.7, L,1111.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,16.7, L,1111.0,1503,Andhra Pradesh
Plot/Land,Guntur,16.7, L,1111.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,16.66, L,1111.0,1500,Andhra Pradesh
Plot/Land,Guntur,16.5, L,1111.0,1485,Andhra Pradesh
Plot/Land,Visakhapatnam,15.0, L,1111.0,1350,Andhra Pradesh
Plot/Land,Visakhapatnam,14.99, L,1111.0,1350,Andhra Pradesh
Plot/Land,Vijayawada,14.99, L,1111.0,1350,Andhra Pradesh
Plot/Land,Guntur,15.0, L,1111.0,1350,Andhra Pradesh
Plot/Land,Kakinada,14.7, L,1111.0,1323,Andhra Pradesh
Plot/Land,Guntur,13.3, L,1111.0,1197,Andhra Pradesh
Plot/Land,Vijayawada,10.0, L,1111.0,900,Andhra Pradesh
Plot/Land,Visakhapatnam,9.0, L,1111.0,810,Andhra Pradesh
Plot/Land,Visakhapatnam,21.6, L,1113.0,1940,Andhra Pradesh
Plot/Land,Visakhapatnam,17.4, L,1115.0,1560,Andhra Pradesh
Plot/Land,Kakinada,11.98, L,1116.0,1073,Andhra Pradesh
Plot/Land,Visakhapatnam,20.0, L,1117.0,1790,Andhra Pradesh
Plot/Land,Visakhapatnam,16.34, L,1119.0,1460,Andhra Pradesh
Apartment,Vizianagaram,12.35, L,1119.0,1103,Andhra Pradesh
Plot/Land,Visakhapatnam,56.0, L,1120.0,5000,Andhra Pradesh
Plot/Land,Visakhapatnam,17.58, L,1120.0,1569,Andhra Pradesh
Plot/Land,Visakhapatnam,11.56, L,1122.0,1030,Andhra Pradesh
Plot/Land,Visakhapatnam,27.0, L,1123.0,2403,Andhra Pradesh
Plot/Land,Visakhapatnam,32.15, L,1124.0,2860,Andhra Pradesh
Plot/Land,Visakhapatnam,17.56, L,1125.0,1560,Andhra Pradesh
Plot/Land,Visakhapatnam,18.96, L,1128.0,1680,Andhra Pradesh
Plot/Land,Visakhapatnam,21.0, L,1129.0,1860,Andhra Pradesh
Plot/Land,Visakhapatnam,19.76, L,1129.0,1750,Andhra Pradesh
Plot/Land,Visakhapatnam,52.0, L,1130.0,4600,Andhra Pradesh
Plot/Land,Visakhapatnam,26.0, L,1130.0,2300,Andhra Pradesh
Plot/Land,Visakhapatnam,17.0, L,1130.0,1504,Andhra Pradesh
Plot/Land,Vijayawada,27.12, L,1132.0,2394,Andhra Pradesh
Plot/Land,Visakhapatnam,24.68, L,1132.0,2180,Andhra Pradesh
Plot/Land,Vizianagaram,21.3, L,1132.0,1880,Andhra Pradesh
Plot/Land,Visakhapatnam,21.0, L,1135.0,1850,Andhra Pradesh
Plot/Land,Visakhapatnam,16.85, L,1135.0,1484,Andhra Pradesh
Plot/Land,Tirupati,20.5, L,1138.0,1800,Andhra Pradesh
Plot/Land,Visakhapatnam,13.65, L,1139.0,1198,Andhra Pradesh
Plot/Land,Tirupati,16.0, L,1142.0,1400,Andhra Pradesh
Plot/Land,Visakhapatnam,55.0, L,1145.0,4800,Andhra Pradesh
Plot/Land,Vijayawada,27.84, L,1145.0,2430,Andhra Pradesh
Plot/Land,Visakhapatnam,46.0, L,1149.0,4002,Andhra Pradesh
Plot/Land,Visakhapatnam,24.52, L,1151.0,2130,Andhra Pradesh
Plot/Land,Visakhapatnam,16.58, L,1151.0,1440,Andhra Pradesh
Plot/Land,Visakhapatnam,13.54, L,1152.0,1175,Andhra Pradesh
Plot/Land,Visakhapatnam,30.0, L,1153.0,2600,Andhra Pradesh
Plot/Land,Visakhapatnam,52.0, L,1155.0,4500,Andhra Pradesh
Plot/Land,Visakhapatnam,31.18, L,1155.0,2700,Andhra Pradesh
Plot/Land,Visakhapatnam,17.35, L,1155.0,1503,Andhra Pradesh
Plot/Land,Visakhapatnam,25.0, L,1157.0,2160,Andhra Pradesh
Plot/Land,Visakhapatnam,22.0, L,1157.0,1900,Andhra Pradesh
Plot/Land,Vizianagaram,21.3, L,1157.0,1840,Andhra Pradesh
Plot/Land,Vijayawada,10.0, L,1157.0,864,Andhra Pradesh
Plot/Land,Vizianagaram,17.85, L,1159.0,1540,Andhra Pradesh
Plot/Land,Visakhapatnam,23.2, L,1160.0,1999,Andhra Pradesh
Plot/Land,Visakhapatnam,21.0, L,1160.0,1809,Andhra Pradesh
Plot/Land,Visakhapatnam,21.0, L,1162.0,1806,Andhra Pradesh
Plot/Land,Visakhapatnam,13.54, L,1162.0,1165,Andhra Pradesh
Plot/Land,Tirupati,11299999.999999998, Cr,1164.0,9700,Andhra Pradesh
